num,url,name_ko,name_en,country,region,country_region,varietal,vintage,type,category,style,winery,winery_ko,winery_en,brand,grade,price,volume,abv,sweetness,acidity,body,tannin,serving_temp,pairing,awards,title_block
1806,https://www.naracellar.com/wine/wine_view.php?num=1806,바인굿 크놀 로이브너 리슬링 페더슈필,Weingut Knoll Loibner Riesling Fedespiel,오스트리아,바하우 > 로이브너,오스트리아 > 바하우 > 로이브너,리슬링(Riesling) 100%,,화이트,White,,바인굿 크놀(Weingut Knoll),바인굿 크놀,Weingut Knoll,,,,750ml,,,,,,,"해산물, 샐러드",2024 JS 92 JS : James Suckling 와인 스펙테이터에서 30년 가까운 경력을 쌓은 현재 가장 영향력 있는 와인 평론가 중 한 사람 All Vintages 더보기,
1804,https://www.naracellar.com/wine/wine_view.php?num=1804,몬테스 알파 블랙 라벨 시라,Montes Alpha Black Label Syrah,칠레,콜차구아 밸리,칠레 > 콜차구아 밸리,시라(Syrah),,레드,Red,,몬테스(Montes),몬테스,Montes,,,,750ml,,,,,,16-18℃,"그릴에 구운 붉은 육류, 양고기, 치즈",,
1805,https://www.naracellar.com/wine/wine_view.php?num=1805,바인굿 크놀 로이브너 그뤼너 벨트리너 페더슈필,Weingut Knoll Loibner Gruner Veltliner Fedespiel,오스트리아,바하우 > 로이브너,오스트리아 > 바하우 > 로이브너,그뤼너 벨트리너(Gruner Veltliner) 100%,,화이트,White,,바인굿 크놀(Weingut Knoll),바인굿 크놀,Weingut Knoll,,,,750ml,,,,,,,"해산물, 샐러드",2024 JS 91 JS : James Suckling 와인 스펙테이터에서 30년 가까운 경력을 쌓은 현재 가장 영향력 있는 와인 평론가 중 한 사람 All Vintages 더보기,
1803,https://www.naracellar.com/wine/wine_view.php?num=1803,마세리아 아주라,Masseria Azzurra,이태리,풀리아,이태리 > 풀리아,프리미티보(Primitivo) 100%,,레드,Red,,리베라(Rivera),리베라,Rivera,,,,750ml,,,,,,,,,
1800,https://www.naracellar.com/wine/wine_view.php?num=1800,레 아리꼬끄 후세뜨 드 사부아 프랑쥐,Les Aricoques Roussette de Savoie Frangy,프랑스,사보이,프랑스 > 사보이,알테세(Altesse) 100%,,화이트,White,,도멘 아리꼬끄(Domaine Aricoques ),도멘 아리꼬끄,Domaine Aricoques,,,,750ml,,,,,,10-12℃,"토마토 카르파치오, 조개찜. 광어 세비체, 지중해식 샐러드",,
1478,https://www.naracellar.com/wine/wine_view.php?num=1478,샴페인 빌까르 살몽 브뤼 로제,Champagne Billecart Salmon Brut Rose,프랑스,샹파뉴,프랑스 > 샹파뉴,"샤도네이(Chardonnay) 40%, 피노 누아(Pinot Noir) 30%, 피노 뫼니에(Pinot Meunier) 30%",,스파클링,Sparkling,,샴페인 빌까르 살몽(Champagne Billecart Salmon),샴페인 빌까르 살몽,Champagne Billecart Salmon,,,,750ml,,,,,,8~9 ℃,"랑구스틴 카르파치오, 연어 필레",,
1801,https://www.naracellar.com/wine/wine_view.php?num=1801,브이나인 카버네 소비뇽,V9 Cabernet Sauvignon,칠레,콜차구아 밸리,칠레 > 콜차구아 밸리,카버네 소비뇽(Cabernet Sauvignon) 100%,,레드,Red,,베라몬테(Veramonte),베라몬테,Veramonte,,,,750ml,,,,,,16-18℃,"갈비, 보쌈, 떡갈비",,
1752,https://www.naracellar.com/wine/wine_view.php?num=1752,조쉬 셀라 카버네 소비뇽,Josh Cellars Cabernet Sauvignon,미국,캘리포니아,미국 > 캘리포니아,카버네 소비뇽(Cabernet Sauvignoon),,레드,Red,,조쉬 셀라(Josh Cellars),조쉬 셀라,Josh Cellars,,,,750ml,,,,,,,,,
108,https://www.naracellar.com/wine/wine_view.php?num=108,케이머스 나파 밸리 카버네 소비뇽,Caymus Napa Valley Cabernet Sauvignon,미국,캘리포니아 > 나파 밸리,미국 > 캘리포니아 > 나파 밸리,카버네 소비뇽 (Cabernet Sauvignon) 100%,,레드,Red,,케이머스 빈야드(Caymus Vineyards),케이머스 빈야드,Caymus Vineyards,,,,750ml,,,,,,16 ~ 18 ℃,"스테이크, 라구 소스를 곁들인 파스타,  숯불갈비",2022 WS 91 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 2021 WS 92 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 2020 WS 91 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 2019 WS 92 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 2018 WS 92 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 2017 WS 92 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 2016 WS 92 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 All Vintages 더보기,
120,https://www.naracellar.com/wine/wine_view.php?num=120,덕혼 나파 밸리 멀롯,Duckhorn Napa Valley Merlot,미국,캘리포니아 > 나파 밸리,미국 > 캘리포니아 > 나파 밸리,"멀롯 (Merlot) 80%, 카버네 소비뇽 (Cabernet Sauvignon)16%, 카버네 프랑 (Cabernet Franc) 2.5%, 쁘띠 베르도 (Petit Verdot) 1%, 말벡 (Malbec) 0.5%",,레드,Red,,덕혼 빈야드(Duckhorn Vineyards),덕혼 빈야드,Duckhorn Vineyards,,,,750ml,,,,,,17 ~ 18 ℃,"그릴에 구운 버섯, 토마호크, 소고기 구이, 양갈비, 구운 까망베르 치즈, 그뤼에르 치즈","2017 JS 92 JS : James Suckling 와인 스펙테이터에서 30년 가까운 경력을 쌓은 현재 가장 영향력 있는 와인 평론가 중 한 사람 WE 90 WE : Wine Enthusiast 매해 TOP 100, Best Buy 100, TOP 50 Cellar Selection 선정하여 발표하며 와인과 스피릿 분야에서 매거진을 발행하는 '와인 인뜌지에스트' W&S 90 W&S : Wine & Spirits 와인과 스피릿 구매 가이드로 창간된 전문지로 미국 각처 주요 레스토랑을 대상으로 하는 설문조사 'Restaurant Poll'로 유명 All Vintages 더보기",
